School Name,School State,Zip Code,School Locale,Rate of Full Time Faculty,Faculty Avg. Salary,Enrollment Size,Percent Males,Percent Females,4 Year Retention Rate,Median Househould Income,Avg. Age of Entry,Admission Rate,Avg. Cost,Percent that Received Pell Grant,Percent of Undergraduates that Receive Federal Loan,150% 4 Year Completion Rate (Pooled),Percent Repaying Not in Default 5 Years,Three Year Default Rate,Undergraduate Federal Loan Repayment Rate,Catholic,Average Net Price,Out-In State Tuition Ratio,Debt to Earnings Ratio,Male to Female Ratio,Cluster (hier)
Miami University-Middletown,OH,45042,23,1,7560,1450,0.4724,0.5276,0.6638,72182,20,0.8052190077,17807,0.2873,0.3561,0.2309,0.5997382199,0.058,0.9284525069,0,14630,2.6848552339,0.6038426349,0.8953752843,24
Miami University-Oxford,OH,45056,31,1,9903,17044,0.5008,0.4992,0.8935,72182,20,0.8039,33229,0.1129,0.3284,0.8065,0.5997382199,0.058,0.9284525069,0,24323,2.2586261077,0.6038426349,1.0032051282,26
Mount Carmel College of Nursing,OH,43222-1504,11,0.3288,8047,731,0.1094,0.8906,0.6078,68565,24,0.7364,21410,0.2577,0.5773,0.7083,0.8299492386,0.028,0.9328795203,1,17650,1,0.5473523922,0.1228385358,39
University of Mount Union,OH,44601-3929,31,0.9867,7338,1987,0.5174,0.4826,0.7212,61044,19,0.766,43195,0.3029,0.8017,0.6455,0.7833935018,0.069,0.9618689472,0,23501,1,0.6685843967,1.0721094074,13
Mount Vernon Nazarene University,OH,43050-9500,32,0.9286,5574,1696,0.3909,0.6091,0.7871,60597,24,0.7303,41890,0.3509,0.6181,0.6367,0.7334437086,0.048,0.9592102404,0,20282,1,0.6928261006,0.6417665408,14
Mount Saint Joseph University,OH,45233-1670,21,0.9817,6840,1140,0.4211,0.5789,0.7247,64120,22,0.6241,38527,0.3008,0.5877,0.4863,0.6454720617,0.083,0.99530527,1,21913,1,0.8476999755,0.7274140612,37
Muskingum University,OH,43762,32,1,7602,1505,0.4372,0.5628,0.7236,57566,21,0.8062,41121,0.3733,0.7843,0.5205,0.733995585,0.085,0.9965477874,0,20157,1,0.8118081181,0.776830135,13
Notre Dame College,OH,44121-4293,21,0.9322,5206,1333,0.4809,0.5191,0.596,60228,22,0.9754,43696,0.3997,0.6607,0.4006,0.5800176835,0.104,1.0239459928,1,19907,1,0.8135857359,0.9264110961,37
Oberlin College,OH,44074,31,0.9263,9997,2846,0.4157,0.5843,0.9142,76190,19,0.364,74636,0.0916,0.3494,0.863,0.8669354839,0.017,0.8516453156,0,34077,1,0.7520293817,0.7114495978,34
Ohio Dominican University,OH,43219,11,0.9545,7057,991,0.4712,0.5288,0.6078,65362,23,0.8394,42121,0.3956,0.6911,0.4891,0.5790181574,0.085,1.0109769375,1,19960,1,0.902462431,0.8910741301,37
Ohio Northern University,OH,45810-1599,31,0.7919,8627,2111,0.5414,0.4586,0.8546,63536,20,0.7015,47711,0.2573,0.6256,0.7438,0.8489583333,0.028,0.8846206613,0,24072,1,0.456842251,1.1805494985,30
Ohio State University-Main Campus,OH,43210,11,0.6489,12680,45657,0.513,0.487,0.9408,65208,20,0.5374,26816,0.2052,0.3578,0.8463,0.6798547707,0.044,0.9367907305,0,17616,2.8925478167,0.5729053712,1.0533880903,27
Ohio University-Main Campus,OH,45701-2979,32,0.767,9173,20484,0.3965,0.6035,0.8153,59563,23,0.8207,28490,0.2416,0.5096,0.6476,0.5584507042,0.067,0.9775531922,0,22906,1.7765620044,0.6628486584,0.6570008285,20
Ohio Wesleyan University,OH,43015-2370,21,0.5161,8791,1489,0.4406,0.5594,0.7795,77246,19,0.673,60662,0.3229,0.6355,0.6626,0.8514115899,0.045,0.9467123665,0,25294,1,0.7961466502,0.7876296031,30
Otterbein University,OH,43081,21,0.4927,7781,2407,0.3905,0.6095,0.8247,67882,20,0.8015,44695,0.2578,0.7658,0.6389,0.74,0.04,0.9564953692,0,23386,1,0.6943847744,0.6406890894,13
Shawnee State University,OH,45662,31,0.4177,6919,2981,0.4539,0.5461,0.7847,43961,21,0.7428192778,19124,0.4249,0.5751,0.3344,0.4108695652,0.152,1.0236360074,0,16320,1.7167574108,0.9984407911,0.831166453,24
Franciscan University of Steubenville,OH,43952-1763,13,1,8198,2138,0.4097,0.5903,0.883,66586,20,0.7664,38525,0.2436,0.6091,0.7718,0.8353057199,0.024,0.8995270898,1,24918,1,0.7082638397,0.6940538709,38
Tiffin University,OH,44883,32,1,7069,1901,0.5171,0.4829,0.6473,59678,23,0.689,38783,0.3891,0.646,0.3336,0.2766768293,0.115,1.0301376487,0,21746,1,0.8403445985,1.0708221164,7
University of Toledo,OH,43606-3390,11,0.7322,9010,14396,0.5126,0.4874,0.7642,60626,21,0.964,24920,0.2988,0.4596,0.4851,0.5160833502,0.086,0.9954622805,0,17630,1.8788732394,0.7597993297,1.0517029134,22
Union Institute & University,OH,45206-1925,11,0.1675,5809,604,0.4321,0.5679,1,59714,36,0.8546466885,27180,0.4886,0.7519,0.1956,0.6397248495,0.048,0.9743512841,0,16585,1,0.6341378712,0.7608733932,15
Ursuline College,OH,44124,21,0.3275,6193,633,0.0679,0.9321,0.75,60856,24,0.8527,43873,0.4628,0.8352,0.4895,0.6064139942,0.047,0.9941740668,1,16760,1,0.7894394331,0.0728462611,39
Walsh University,OH,44720-3396,21,0.9932,6070,1752,0.4189,0.5811,0.7528,58552,21,0.7621,41609,0.2975,0.6596,0.6187,0.7312741313,0.036,0.9688644172,1,16075,1,0.7281137571,0.7208742041,37
Wilberforce University,OH,45384-1001,41,0.3704,5354,537,0.3966,0.6034,0.4678,51716,23,0.3905,23250,0.8485,0.8341,0.1902,0.3740310078,0.266,1.0898118836,0,15684,1,1.3148457769,0.6572754392,1
Wilmington College,OH,45177,32,0.6226,5519,1226,0.4698,0.5302,0.6519,60793,21,0.7818,37559,0.4175,0.7675,0.5196,0.7303370787,0.085,0.9648765892,0,21216,1,0.7578628268,0.8860807243,13
Wittenberg University,OH,45504,13,0.6719,7317,1525,0.4564,0.5436,0.701,69671,20,0.913,52584,0.2908,0.7541,0.6259,0.811023622,0.093,0.9764146513,0,22886,1,0.6690997567,0.8395879323,13
The College of Wooster,OH,44691,32,0.8185,8274,1942,0.4634,0.5366,0.8612,69911,19,0.5466,63962,0.1909,0.4818,0.7595,0.8147512864,0.024,0.9017565431,0,24692,1,0.5976940578,0.8635855386,30
Wright State University-Main Campus,OH,45435-0001,21,0.9742,9369,8651,0.4695,0.5305,0.6165,61970,21,0.9545,22015,0.3247,0.4823,0.4181,0.5689264113,0.086,1.0002947936,0,16823,1.9832950512,0.866442953,0.8850141376,22
Wright State University-Lake Campus,OH,45822-2952,41,0.9667,9794,1314,0.4422,0.5578,0.6376,61970,21,0.9938,15475,0.2502,0.3405,0.4031,0.5689264113,0.086,1.0002947936,0,12099,2.4692667707,0.866442953,0.7927572607,24
Xavier University,OH,45207-1092,11,0.4845,9135,5009,0.4566,0.5434,0.8282,68472,20,0.7637,54310,0.1417,0.5573,0.7322,0.7673363577,0.027,0.927393464,1,32250,1,0.4998790615,0.8402649982,40
Youngstown State University,OH,44555-0001,13,1,8399,9705,0.4664,0.5336,0.7278,51307,21,0.6739,18556,0.3841,0.4923,0.3884,0.4233856475,0.116,1.0347152375,0,11947,1.0387972842,1.1760079162,0.8740629685,22
Bacone College,OK,74403-1597,32,1,4461,275,0.4909,0.5091,0.6154,44521,22,0.7201,35150,0.6208,0.6431,0.1275,0.4032825322,0.162,1.0749095421,0,20966,1,1.0433092573,0.9642506384,8
Oklahoma Wesleyan University,OK,74006-6299,32,0.1565,5224,864,0.4213,0.5787,0.5514,51169,26,0.5751,39714,0.4314,0.7267,0.3861,0.6882933709,0.075,1.0045770194,0,25246,1,0.6292823283,0.7280110593,14
Southern Nazarene University,OK,73008,21,0.3216,5636,1616,0.4827,0.5173,0.7345,57571,27,0.7143825859,36767,0.2553,0.421,0.4946,0.6955796497,0.09,1.0054752455,0,18147,1,0.6103240451,0.9331142471,6
