School Name,School State,Zip Code,School Locale,Rate of Full Time Faculty,Faculty Avg. Salary,Enrollment Size,Percent Males,Percent Females,4 Year Retention Rate,Median Househould Income,Avg. Age of Entry,Admission Rate,Avg. Cost,Out of State Cost,In State Cost,Average Net Price (Public),Average Net Price (Private),Percent that Received Pell Grant,Percent of Undergraduates that Receive Federal Loan,90th Percentile Cumulative Loan Debt,150% 4 Year Completion Rate (Pooled),Percent Repaying Not in Default 5 Years,Three Year Default Rate,Undergraduate Federal Loan Repayment Rate,Median Earnings for Students Not Enrolled 10 Years,Catholic,Average Net Price,Out-In State Tuition Ratio,Debt to Earnings Ratio
Arkansas Tech University,AR,72801-2222,33,0.9946,6868.0,7930.0,0.4528,0.5472,0.6971,43602.0,23.0,0.9474,18358.0,13236.0,7668.0,10772.0,,0.3607,0.3628,33870.0,0.3953,0.5434243176,0.091,1.02823450582426,38580.0,0,10772.0,1.726134585289515,0.8779160186625194
University of Central Arkansas,AR,72035-0001,13,0.7652,7121.0,8557.0,0.391,0.609,0.7474,48705.0,21.0,0.9042,22041.0,15998.0,9188.0,15376.0,,0.3945,0.4714,33992.0,0.4228,0.5983319882,0.085,1.03531895702218,42472.0,0,15376.0,1.741184153243361,0.800339046901488
Central Baptist College,AR,72034,13,0.2667,5304.0,600.0,0.53,0.47,0.616,50351.0,24.0,0.4,26290.0,16650.0,16650.0,,16619.0,0.4973,0.6011,36250.0,0.2973,0.6038338658,0.12,1.02214250900904,40099.0,0,16619.0,1.0,0.9040125688919923
Crowley's Ridge College,AR,72450,41,0.9474,4005.0,162.0,0.5556,0.4444,0.5161,43531.0,20.0,,21793.0,14500.0,14500.0,,13796.0,0.5381,0.731,27500.0,0.3518,0.414893617,0.142,1.02194693396658,27898.0,0,13796.0,1.0,0.9857337443544341
Harding University,AR,72149-5615,32,0.7929,7375.0,3749.0,0.4556,0.5444,0.847,61757.0,20.0,0.6134,30490.0,20735.0,20735.0,,19375.0,0.2267,0.5137,37500.0,0.6791,0.7731958763,0.045,0.94652497671893,47520.0,0,19375.0,1.0,0.7891414141414141
Henderson State University,AR,71999-0001,32,0.9955,6837.0,2965.0,0.4293,0.5707,0.62,45548.0,21.0,0.7564,20560.0,10612.0,8902.0,10270.0,,0.5091,0.463,30750.0,0.3665,0.5055230669,0.071,1.04585732255352,39020.0,0,10270.0,1.1920916647944282,0.7880574064582265
Hendrix College,AR,72032-3080,13,1.0,7474.0,1104.0,0.4783,0.5217,0.8867,63550.0,19.0,0.6996,62983.0,47600.0,47600.0,,19295.0,0.2978,0.4825,29000.0,0.7073,0.8,0.023,0.91605591284638,45626.0,0,19295.0,1.0,0.6356025073423048
John Brown University,AR,72761,32,0.9843,7083.0,1447.0,0.3974,0.6026,0.8213,56884.0,24.0,0.7577,39802.0,27668.0,27668.0,,21963.0,0.2895,0.4419,30750.0,0.686,0.7828571429,0.037,0.91913226736177,51785.0,0,21963.0,1.0,0.5938012938109491
Ouachita Baptist University,AR,71998-0001,32,1.0,6374.0,1524.0,0.4239,0.5761,0.7869,61306.0,19.0,0.6143,38590.0,27900.0,27900.0,,19815.0,0.2608,0.6096,28000.0,0.6363,0.7186858316,0.058,0.97830680099899,44927.0,0,19815.0,1.0,0.623233245041957
University of the Ozarks,AR,72830,33,0.7353,6720.0,812.0,0.4914,0.5086,0.6667,51329.0,20.0,0.5019,33866.0,25950.0,25950.0,,12924.0,0.4232,0.5206,31000.0,0.5111,0.637254902,0.099,1.04798745094262,39347.0,0,12924.0,1.0,0.7878618446133123
